token_text	predicates	gold predicates	arguments	gold arguments
and	_	_	_	_
al	_	_	_	_
-	_	_	_	_
Jihad	_	_	_	_
districts	_	_	_	_
of	_	_	_	_
the	_	_	_	_
capital	_	_	_	_
.	_	_	_	_
Although	_	_	_	_
the	_	_	_	_
announcement	_	PRED	ARG	_
was	PRED	PRED	_	_
probably	_	_	_	_
made	PRED	PRED	_	ARG
to	_	_	_	_
show	PRED	PRED	_	_
progress	_	PRED	ARG	_
in	_	_	_	_
identifying	_	PRED	_	_
and	_	_	_	_
breaking	_	PRED	_	_
up	_	_	_	_
terror	_	_	_	_
cells	_	_	ARG	_
,	_	_	_	_
I	_	_	ARG	_
do	PRED	PRED	_	_
n't	_	_	_	_
find	PRED	PRED	_	_
the	_	_	_	_
news	_	_	ARG	_
that	_	_	_	_
the	_	_	_	_
Baathists	_	_	ARG	_
continue	PRED	PRED	_	_
to	_	_	_	_
penetrate	PRED	PRED	_	_
the	_	_	_	_
Iraqi	_	_	_	_
government	_	_	ARG	_
very	_	_	_	_
hopeful	_	_	_	_
.	_	_	_	_
It	_	_	ARG	ARG
reminds	PRED	PRED	_	_
me	_	_	ARG	ARG
too	_	_	_	_
much	_	_	ARG	ARG
of	_	_	_	_
the	_	_	_	_
ARVN	_	_	_	_
officers	_	_	_	ARG
who	_	_	ARG	_
were	PRED	PRED	_	_
secretly	_	_	_	_
working	_	PRED	_	_
for	_	_	_	_
the	_	_	_	_
other	_	_	_	_
side	_	PRED	_	_
in	_	_	_	_
Vietnam	_	_	_	_
.	_	_	_	_
Al	_	_	_	_
-	_	_	_	_
Zaman	_	_	ARG	_
:	_	_	_	_
Guerrillas	_	_	ARG	ARG
killed	PRED	PRED	_	_
a	_	_	_	_
member	_	_	ARG	ARG
of	_	_	_	_
the	_	_	_	_
Kurdistan	_	_	_	_
Democratic	_	_	_	_
Party	_	_	_	_
after	_	_	_	_
kidnapping	_	PRED	_	ARG
him	_	_	ARG	_
in	_	_	_	_
Mosul	_	_	_	_
.	_	_	_	_
The	_	_	_	_
police	_	_	_	_
commander	_	_	ARG	ARG
of	_	_	_	_
Ninevah	_	_	_	_
Province	_	_	_	_
announced	PRED	PRED	_	_
that	_	_	_	_
bombings	_	PRED	ARG	_
had	PRED	PRED	_	_
declined	PRED	PRED	_	ARG
80	_	_	_	_
percent	_	_	_	_
in	_	_	_	_
Mosul	_	_	_	_
,	_	_	_	_
whereas	_	_	_	_
there	_	_	_	_
had	PRED	PRED	_	_
been	PRED	PRED	_	_
a	_	_	_	_
big	_	_	_	_
jump	_	PRED	_	_
in	_	_	_	_
the	_	_	_	_
number	_	_	_	_
of	_	_	_	_
kidnappings	_	_	_	_
.	_	_	_	_
On	_	_	_	_
Wednesday	_	_	_	_
guerrillas	_	_	_	_
had	PRED	PRED	_	_
kidnapped	PRED	PRED	_	_
a	_	_	_	_
cosmetic	_	_	_	_
surgeon	_	_	ARG	_
and	_	_	_	_
his	_	_	_	_
wife	_	_	_	_
while	_	_	_	_
they	_	_	ARG	_
were	PRED	PRED	_	_
on	_	_	_	_
their	_	_	_	_
way	_	PRED	_	_
home	_	_	_	_
.	_	_	_	_
In	_	_	_	_
Suwayrah	_	_	_	_
,	_	_	_	_
Kut	_	_	_	_
Province	_	_	ARG	_
,	_	_	_	_
two	_	_	_	_
car	_	_	_	_
bombs	_	_	ARG	_
were	PRED	PRED	_	_
discovered	PRED	PRED	_	_
before	_	_	_	_
they	_	_	ARG	_
could	_	_	_	_
be	PRED	PRED	_	_
detonated	PRED	PRED	_	_
.	_	_	_	_
(	_	_	_	_
Kut	_	_	ARG	ARG
is	PRED	PRED	_	_
in	_	_	_	_
southeastern	_	_	_	_
Iraq	_	_	_	ARG
and	_	_	_	_
has	PRED	PRED	_	_
an	_	_	_	_
overwhelmingly	_	_	_	_
Shiite	_	_	_	_
population	_	PRED	ARG	_
,	_	_	_	_
who	_	_	ARG	_
are	PRED	PRED	_	_
on	_	_	_	_
the	_	_	_	_
lookout	_	_	_	_
for	_	_	_	_
Baathist	_	_	_	_
saboteurs	_	_	_	_
and	_	_	_	_
willingly	_	_	_	_
turn	PRED	PRED	_	_
them	_	_	ARG	_
in	_	_	_	_
.	_	_	_	_
This	_	_	_	_
willingness	_	_	ARG	ARG
is	PRED	PRED	_	_
the	_	_	_	_
main	_	_	_	_
difference	_	PRED	_	ARG
in	_	_	_	_
the	_	_	_	_
number	_	_	_	_
of	_	_	_	_
bombings	_	PRED	_	_
in	_	_	_	_
the	_	_	_	_
south	_	_	_	_
as	_	_	_	_
opposed	PRED	PRED	_	_
to	_	_	_	_
the	_	_	_	_
center	_	_	ARG	_
-	_	_	_	_
north	_	_	_	ARG
of	_	_	_	_
the	_	_	_	_
country	_	_	_	_
.	_	_	_	_
)	_	_	_	_
In	_	_	_	_
Baghdad	_	_	_	_
Kadhim	_	_	_	_
Talal	_	_	_	_
Husain	_	_	ARG	_
,	_	_	_	_
assistant	_	_	_	_
dean	_	_	_	_
at	_	_	_	_
the	_	_	_	_
School	_	_	_	_
of	_	_	_	_
Education	_	_	_	_
at	_	_	_	_
Mustansiriyah	_	_	_	_
University	_	_	_	_
,	_	_	_	_
was	PRED	PRED	_	_
assassinated	PRED	PRED	_	_
with	_	_	_	_
his	_	_	_	_
driver	_	_	_	_
in	_	_	_	_
the	_	_	_	_
Salikh	_	_	_	_
district	_	_	_	_
.	_	_	_	_
His	_	_	_	_
mother	_	_	ARG	_
was	PRED	PRED	_	_
also	_	_	_	_
killed	PRED	PRED	_	_
in	_	_	_	_
the	_	_	_	_
attack	_	PRED	_	_
.	_	_	_	_
Two	_	_	_	_
other	_	_	_	_
Dulaim	_	_	_	_
leaders	_	_	ARG	_
have	PRED	PRED	_	_
been	PRED	PRED	_	_
killed	PRED	PRED	_	_
in	_	_	_	_
the	_	_	_	_
past	_	_	_	_
week	_	_	_	_
and	_	_	_	_
a	_	_	_	_
half	_	_	_	_
.	_	_	_	_
Guerrillas	_	_	ARG	ARG
near	_	_	_	_
Hawijah	_	_	_	_
launched	PRED	PRED	_	_
an	_	_	_	_
attack	_	PRED	ARG	ARG
that	_	_	ARG	_
left	PRED	PRED	_	_
6	_	_	ARG	_
dead	_	_	_	_
,	_	_	_	_
including	_	_	_	_
4	_	_	_	_
Iraqi	_	_	_	_
soldiers	_	_	_	_
.	_	_	_	_
One	_	_	ARG	ARG
of	_	_	_	_
them	_	_	_	_
was	PRED	PRED	_	_
from	_	_	_	_
the	_	_	_	_
Jubur	_	_	_	ARG
tribe	_	_	_	_
and	_	_	_	_
was	PRED	PRED	_	_
deputy	_	_	_	_
commander	_	_	_	_
of	_	_	_	_
the	_	_	_	_
Hawijah	_	_	_	_
garrison	_	_	_	_
.	_	_	_	_
Two	_	_	_	_
hundred	_	_	_	_
members	_	_	ARG	ARG
of	_	_	_	_
the	_	_	_	_
Batawi	_	_	_	_
clan	_	_	_	_
of	_	_	_	_
the	_	_	_	_
Dulaim	_	_	_	_
demonstrated	PRED	PRED	_	_
in	_	_	_	_
Baghdad	_	_	_	ARG
on	_	_	_	_
Friday	_	_	_	ARG
,	_	_	_	_
protesting	_	PRED	_	ARG
the	_	_	_	_
killing	_	PRED	ARG	_
of	_	_	_	_
their	_	_	_	_
clan	_	_	_	_
elder	_	_	_	_
,	_	_	_	_
Shaikh	_	_	_	_
Kadhim	_	_	_	_
Sarhid	_	_	_	_
and	_	_	_	_
4	_	_	_	_
of	_	_	_	_
his	_	_	_	_
sons	_	_	_	_
,	_	_	_	_
by	_	_	_	_
gunmen	_	_	ARG	_
wearing	_	PRED	_	_
Iraqi	_	_	_	_
army	_	_	_	_
uniforms	_	_	ARG	_
.	_	_	_	_
(	_	_	_	_
This	_	_	ARG	ARG
is	PRED	PRED	_	_
a	_	_	_	_
largely	_	_	_	_
Sunni	_	_	_	_
Arab	_	_	_	_
clan	_	_	_	ARG
,	_	_	_	_
and	_	_	_	_
some	_	_	_	_
Sunni	_	_	_	_
observers	_	_	ARG	_
have	PRED	PRED	_	_
accused	PRED	PRED	_	_
Shiite	_	_	_	_
elements	_	_	ARG	_
in	_	_	_	_
the	_	_	_	_
government	_	_	_	_
of	_	_	_	_
being	_	PRED	_	_
behind	_	_	_	_
the	_	_	_	_
assassination	_	PRED	_	_
;	_	_	_	_
it	_	_	ARG	_
is	PRED	PRED	_	_
more	_	_	_	_
likely	_	_	_	_
the	_	_	_	_
work	_	PRED	_	_
of	_	_	_	_
Sunni	_	_	_	_
Arab	_	_	_	_
guerrillas	_	_	_	_
punishing	_	PRED	_	_
the	_	_	_	_
Batawi	_	_	_	_
leaders	_	_	ARG	_
for	_	_	_	_
cooperating	_	PRED	_	_
with	_	_	_	_
the	_	_	_	_
Dec.	_	_	_	_
15	_	_	_	_
elections	_	PRED	_	_
.	_	_	_	_
)	_	_	_	_
Al	_	_	_	_
-	_	_	_	_
Zaman	_	_	ARG	_
:	_	_	_	_
The	_	_	_	_
Iraqi	_	_	_	_
High	_	_	_	_
Electoral	_	_	_	_
Commission	_	_	_	ARG
on	_	_	_	_
Friday	_	_	_	ARG
denied	PRED	PRED	_	_
a	_	_	_	_
request	_	PRED	ARG	ARG
of	_	_	_	_
the	_	_	_	_
Debaathification	_	_	_	_
Commission	_	_	_	_
to	_	_	_	_
exclude	PRED	PRED	_	_
51	_	_	_	_
individuals	_	_	ARG	_
from	_	_	_	_
running	_	PRED	_	_
on	_	_	_	_
party	_	_	_	_
lists	_	_	_	_
in	_	_	_	_
the	_	_	_	_
Dec.	_	_	_	_
15	_	_	_	_
elections	_	PRED	_	_
on	_	_	_	_
grounds	_	_	_	_
of	_	_	_	_
having	_	PRED	_	_
been	PRED	PRED	_	_
sufficiently	_	_	_	_
involved	_	PRED	_	_
in	_	_	_	_
Baath	_	_	_	_
activities	_	_	_	_
to	_	_	_	_
warrant	PRED	PRED	_	_
their	_	_	ARG	_
being	_	PRED	_	_
excluded	PRED	PRED	_	_
from	_	_	_	_
civil	_	_	_	_
office	_	_	_	_
.	_	_	_	_
The	_	_	_	_
Commission	_	_	ARG	ARG
said	PRED	PRED	_	_
it	_	_	ARG	_
had	PRED	PRED	_	ARG
no	_	_	_	_
legal	_	_	_	_
grounds	_	_	ARG	_
for	_	_	_	_
such	_	_	_	_
an	_	_	_	_
exclusion	_	PRED	_	_
.	_	_	_	_
This	_	_	_	_
item	_	_	ARG	ARG
is	PRED	PRED	_	_
a	_	_	_	_
small	_	_	_	_
one	_	_	_	ARG
and	_	_	_	_
easily	_	_	_	_
missed	PRED	PRED	_	_
.	_	_	_	_
But	_	_	_	_
in	_	_	_	_
my	_	_	_	ARG
view	_	PRED	_	_
it	_	_	ARG	_
is	PRED	PRED	_	_
highly	_	_	_	_
significant	_	PRED	_	_
.	_	_	_	_
The	_	_	_	_
Debaathification	_	_	_	_
Commission	_	_	ARG	_
had	PRED	PRED	_	_
been	PRED	PRED	_	_
pushed	PRED	PRED	_	_
by	_	_	_	_
Ahmad	_	_	_	_
Chalabi	_	_	ARG	_
and	_	_	_	_
his	_	_	_	_
Iraqi	_	_	_	_
National	_	_	_	_
Congress	_	_	_	_
very	_	_	_	_
hard	_	_	_	_
,	_	_	_	_
and	_	_	_	_
had	PRED	PRED	_	_
pushed	PRED	PRED	_	_
many	_	_	_	_
Sunni	_	_	_	_
Arabs	_	_	ARG	_
into	_	_	_	_
the	_	_	_	_
arms	_	_	_	_
of	_	_	_	_
the	_	_	_	_
guerrillas	_	_	_	_
.	_	_	_	_
Chalabi	_	_	ARG	_
has	PRED	PRED	_	_
been	PRED	PRED	_	_
increasingly	_	_	_	_
marginalized	PRED	PRED	_	_
within	_	_	_	_
Iraq	_	_	_	_
,	_	_	_	_
however	_	_	_	_
,	_	_	_	_
despite	_	_	_	_
his	_	_	_	_
ties	_	_	_	_
of	_	_	_	_
clientelage	_	_	_	_
with	_	_	_	_
Washington	_	_	_	_
and	_	_	_	_
Tehran	_	_	_	_
.	_	_	_	_
He	_	_	ARG	ARG
is	PRED	PRED	_	_
no	_	_	_	_
longer	_	_	_	ARG
in	_	_	_	_
the	_	_	_	_
dominant	_	_	_	_
Shiite	_	_	_	_
list	_	_	_	ARG
,	_	_	_	_
the	_	_	_	_
United	_	_	_	_
Iraqi	_	_	_	_
Alliance	_	_	_	_
,	_	_	_	_
and	_	_	_	_
wo	_	_	_	_
n't	_	_	_	_
have	PRED	PRED	_	_
many	_	_	_	_
seats	_	_	ARG	_
in	_	_	_	_
the	_	_	_	_
new	_	_	_	_
parliament	_	_	_	_
.	_	_	_	_
Some	_	_	_	_
2,000	_	_	_	_
junior	_	_	_	_
officers	_	_	ARG	_
of	_	_	_	_
the	_	_	_	_
old	_	_	_	_
Baath	_	_	_	_
army	_	_	_	_
have	PRED	PRED	_	_
been	PRED	PRED	_	_
recalled	PRED	PRED	_	_
to	_	_	_	_
duty	_	_	ARG	_
in	_	_	_	_
recent	_	_	_	_
months	_	_	_	_
,	_	_	_	_
something	_	_	_	_
Chalabi	_	_	ARG	_
would	_	_	_	_
have	PRED	PRED	_	_
blocked	PRED	PRED	_	_
if	_	_	_	_
he	_	_	ARG	_
could	_	_	_	_
have	PRED	PRED	_	_
.	_	_	_	_
Now	_	_	ARG	_
the	_	_	_	_
Electoral	_	_	_	_
Commission	_	_	ARG	_
is	PRED	PRED	_	_
refusing	_	PRED	_	_
to	_	_	_	_
punish	PRED	PRED	_	_
people	_	_	ARG	_
for	_	_	_	_
mere	_	_	_	_
past	_	_	_	_
Baath	_	_	_	_
Party	_	_	_	_
membership	_	_	_	_
.	_	_	_	_
The	_	_	_	_
situation	_	_	ARG	_
in	_	_	_	_
Iraq	_	_	_	_
is	PRED	PRED	_	_
only	_	_	_	_
going	_	PRED	_	_
to	_	_	_	_
get	PRED	PRED	_	_
better	_	PRED	_	_
this	_	_	_	_
way	_	PRED	_	_
.	_	_	_	_
If	_	_	_	_
someone	_	_	ARG	ARG
committed	PRED	PRED	_	_
a	_	_	_	_
crime	_	_	ARG	ARG
against	_	_	_	_
humanity	_	_	_	_
,	_	_	_	_
prosecute	PRED	PRED	_	_
the	_	_	_	_
person	_	_	ARG	_
.	_	_	_	_
If	_	_	_	_
he	_	_	ARG	_
or	_	_	_	_
she	_	_	_	_
did	PRED	PRED	_	_
not	_	_	_	_
,	_	_	_	_
then	_	_	_	_
they	_	_	ARG	_
should	_	_	_	_
have	PRED	PRED	_	_
all	_	_	_	_
the	_	_	_	_
same	_	_	_	_
rights	_	PRED	ARG	_
as	_	_	_	_
other	_	_	_	_
Iraqis	_	_	_	_
.	_	_	_	_
Al	_	_	_	ARG
-	_	_	_	_
Sharq	_	_	_	_
al	_	_	_	_
-	_	_	_	_
Awsat	_	_	ARG	_
reports	PRED	PRED	_	_
that	_	_	_	_
a	_	_	_	_
key	_	_	_	_
eyewitness	_	_	ARG	_
in	_	_	_	_
the	_	_	_	_
trial	_	PRED	_	_
of	_	_	_	_
Saddam	_	_	_	_
Hussein	_	_	_	_
for	_	_	_	_
a	_	_	_	_
1982	_	_	_	_
massacre	_	_	_	_
at	_	_	_	_
Dujail	_	_	_	_
has	PRED	PRED	_	_
died	PRED	PRED	_	ARG
.	_	_	_	_
A	_	_	_	_
team	_	_	ARG	ARG
from	_	_	_	_
the	_	_	_	_
court	_	_	_	_
managed	PRED	PRED	_	_
to	_	_	_	_
take	PRED	PRED	_	ARG
his	_	_	_	_
deposition	_	PRED	ARG	_
before	_	_	_	_
he	_	_	ARG	_
died	PRED	PRED	_	_
.	_	_	_	_
The	_	_	_	_
trial	_	PRED	ARG	_
begins	PRED	PRED	_	_
again	_	_	_	_
Nov.	_	_	_	_
28	_	_	_	_
.	_	_	_	_
In	_	_	_	_
Baghdad	_	_	_	_
the	_	_	_	_
fighting	_	PRED	ARG	_
still	_	_	_	_
continues	PRED	PRED	_	_
in	_	_	_	_
several	_	_	_	_
areas	_	_	_	_
,	_	_	_	_
mostly	_	_	_	_
in	_	_	_	_
Sadr	_	_	_	_
city	_	_	_	_
and	_	_	_	_
Adhamiya	_	_	_	_
.	_	_	_	_
Baghdadis	_	_	ARG	_
do	PRED	PRED	_	_
n't	_	_	_	_
venture	PRED	PRED	_	_
much	_	_	ARG	_
out	_	_	_	_
of	_	_	_	_
their	_	_	_	_
neighbourhoods	_	_	_	_
any	_	_	_	_
more	_	_	_	_
,	_	_	_	_
you	_	_	ARG	_
never	_	_	_	_
know	PRED	PRED	_	_
where	_	_	_	_
you	_	_	ARG	_
might	_	_	_	_
get	PRED	PRED	_	_
stuck	_	PRED	_	_
.	_	_	_	_
There	_	_	_	_
has	PRED	PRED	_	_
been	PRED	PRED	_	_
talk	_	PRED	_	_
that	_	_	_	_
the	_	_	_	_
night	_	_	_	_
curfew	_	_	ARG	_
might	_	_	_	_
be	PRED	PRED	_	_
implemented	PRED	PRED	_	_
again	_	_	_	_
.	_	_	_	_
My	_	_	_	_
neighbourhood	_	_	ARG	_
has	PRED	PRED	_	_
been	PRED	PRED	_	_
surrounded	PRED	PRED	_	_
by	_	_	_	_
American	_	_	_	_
troops	_	_	ARG	_
for	_	_	_	_
three	_	_	_	_
days	_	_	_	_
now	_	_	ARG	_
,	_	_	_	_
helicopters	_	_	ARG	_
have	PRED	PRED	_	_
been	PRED	PRED	_	_
circling	_	PRED	_	_
over	_	_	_	_
our	_	_	_	_
heads	_	_	_	_
non-stop	_	_	ARG	_
.	_	_	_	_
Fedayeen	_	_	ARG	ARG
are	PRED	PRED	_	_
now	_	_	ARG	ARG
visible	_	PRED	_	ARG
on	_	_	_	_
the	_	_	_	_
street	_	_	_	ARG
and	_	_	_	_
they	_	_	ARG	_
have	PRED	PRED	_	_
become	PRED	PRED	_	_
bolder	_	PRED	_	_
than	_	_	_	_
ever	_	_	_	_
.	_	_	_	_
Yesterday	_	_	_	ARG
there	_	_	_	_
were	PRED	PRED	_	_
tens	_	_	_	ARG
of	_	_	_	_
them	_	_	_	_
putting	_	PRED	_	_
road	_	_	_	_
blocks	_	PRED	ARG	_
on	_	_	_	_
our	_	_	_	_
street	_	_	_	_
and	_	_	_	_
setting	_	PRED	_	_
up	_	_	_	_
mortars	_	_	ARG	_
,	_	_	_	_
they	_	_	ARG	_
only	_	_	_	_
come	PRED	PRED	_	_
out	_	_	_	_
in	_	_	_	_
the	_	_	_	_
open	_	_	_	_
when	_	_	_	_
Americans	_	_	ARG	_
leave	PRED	PRED	_	_
the	_	_	_	_
area	_	_	ARG	_
,	_	_	_	_
then	_	_	_	_
they	_	_	ARG	_
start	PRED	PRED	_	_
firing	_	PRED	_	_
mortars	_	_	ARG	_
indiscriminately	_	_	_	_
and	_	_	_	_
shooting	_	PRED	_	_
their	_	_	_	_
AK	_	_	_	_
-	_	_	_	_
47's	_	_	ARG	_
in	_	_	_	_
the	_	_	_	_
air	_	_	_	_
.	_	_	_	_
They	_	_	ARG	_
are	PRED	PRED	_	_
setting	_	PRED	_	_
the	_	_	_	_
road	_	_	_	_
blocks	_	PRED	ARG	_
at	_	_	_	_
the	_	_	_	_
exact	_	_	_	_
same	_	_	_	_
positions	_	_	_	_
they	_	_	ARG	_
were	PRED	PRED	_	_
during	_	_	_	_
the	_	_	_	_
war	_	PRED	_	_
last	_	_	_	_
year	_	_	_	_
,	_	_	_	_
which	_	_	ARG	_
indicates	PRED	PRED	_	_
they	_	_	ARG	_
are	PRED	PRED	_	_
the	_	_	_	_
same	_	_	_	_
people	_	_	_	_
.	_	_	_	_
And	_	_	_	_
there	_	_	_	_
is	PRED	PRED	_	_
nothing	_	_	_	ARG
we	_	_	ARG	_
can	_	_	_	_
do	PRED	PRED	_	_
about	_	_	_	_
it	_	_	_	_
really	_	_	_	_
,	_	_	_	_
people	_	_	_	_
who	_	_	ARG	_
are	PRED	PRED	_	_
suggesting	_	PRED	_	_
that	_	_	_	_
we	_	_	ARG	_
go	PRED	PRED	_	_
out	_	_	_	_
and	_	_	_	_
fight	PRED	PRED	_	_
them	_	_	ARG	_
are	PRED	PRED	_	_
living	_	PRED	_	_
in	_	_	_	_
dream	_	_	_	_
land	_	_	_	_
.	_	_	_	_
Even	_	_	_	_
the	_	_	_	_
IP	_	_	ARG	_
and	_	_	_	_
ICDC	_	_	_	_
have	PRED	PRED	_	_
abandoned	PRED	PRED	_	_
the	_	_	_	_
neighbourhood	_	_	ARG	_
,	_	_	_	_
and	_	_	_	_
those	_	_	ARG	_
are	PRED	PRED	_	_
trained	_	_	_	_
and	_	_	_	_
armed	_	_	_	_
,	_	_	_	_
so	_	_	_	_
do	PRED	PRED	_	_
n't	_	_	_	_
expect	PRED	PRED	_	_
scared	_	_	_	_
civilians	_	_	ARG	_
to	_	_	_	_
do	PRED	PRED	_	_
anything	_	_	ARG	_
except	_	_	_	_
to	_	_	_	_
hide	PRED	PRED	_	_
inside	_	_	_	_
and	_	_	_	_
pray	PRED	PRED	_	_
a	_	_	_	_
helicopter	_	_	ARG	_
or	_	_	_	_
a	_	_	_	_
tank	_	_	_	_
does	PRED	PRED	_	_
n't	_	_	_	_
bomb	PRED	PRED	_	_
them	_	_	ARG	_
,	_	_	_	_
and	_	_	_	_
also	_	_	_	_
how	_	_	ARG	_
are	PRED	PRED	_	_
American	_	_	_	_
soldiers	_	_	ARG	_
going	_	PRED	_	_
to	_	_	_	_
distinguish	PRED	PRED	_	_
the	_	_	_	_
brave	_	_	_	_
and	_	_	_	_
valiant	_	_	_	_
civilians	_	_	ARG	_
from	_	_	_	_
the	_	_	_	_
Fedayeen	_	_	_	_
?	_	_	_	_
Everyone	_	_	ARG	ARG
is	PRED	PRED	_	_
apprehensive	_	_	_	ARG
,	_	_	_	_
there	_	_	_	_
is	PRED	PRED	_	_
some	_	_	_	_
talk	_	PRED	_	_
that	_	_	_	_
April	_	_	_	_
9th	_	_	ARG	_
and	_	_	_	_
10th	_	_	_	_
are	PRED	PRED	_	_
going	_	PRED	_	_
to	_	_	_	_
be	PRED	PRED	_	_
bloody	_	_	_	_
days	_	_	_	_
.	_	_	_	_
Most	_	_	_	_
people	_	_	ARG	_
have	PRED	PRED	_	_
n't	_	_	_	_
gone	PRED	PRED	_	_
to	_	_	_	_
work	_	PRED	_	_
the	_	_	_	_
last	_	_	_	_
few	_	_	_	_
days	_	_	_	_
,	_	_	_	_
although	_	_	_	_
it	_	_	ARG	_
seems	PRED	PRED	_	_
that	_	_	_	_
the	_	_	_	_
rest	_	_	ARG	_
of	_	_	_	_
Baghdad	_	_	_	_
is	PRED	PRED	_	_
'	_	_	_	_
normal	_	PRED	_	_
'	_	_	_	_
(	_	_	_	_
if	_	_	_	_
you	_	_	ARG	_
can	_	_	_	_
define	PRED	PRED	_	_
what	_	_	_	_
normal	_	_	_	_
is	PRED	PRED	_	_
)	_	_	_	_
.	_	_	_	_
There	_	_	_	_
are	PRED	PRED	_	_
rumours	_	_	_	ARG
about	_	_	_	_
preparations	_	PRED	_	_
by	_	_	_	_
slum	_	_	_	_
dwellers	_	_	ARG	_
for	_	_	_	_
another	_	_	_	_
looting	_	_	_	_
spree	_	PRED	_	_
against	_	_	_	_
banks	_	_	_	_
,	_	_	_	_
governmental	_	_	_	_
and	_	_	_	_
public	_	_	_	_
property	_	_	_	_
similar	_	_	_	_
to	_	_	_	_
the	_	_	_	_
one	_	_	ARG	_
that	_	_	ARG	_
took	PRED	PRED	_	_
place	_	_	ARG	_
last	_	_	_	_
April	_	_	_	_
,	_	_	_	_
and	_	_	_	_
I	_	_	ARG	_
have	PRED	PRED	_	_
already	_	_	ARG	_
overheard	PRED	PRED	_	_
youngsters	_	_	ARG	_
in	_	_	_	_
my	_	_	_	_
neighbourhood	_	_	_	_
joking	_	PRED	_	_
about	_	_	_	_
it	_	_	_	_
and	_	_	_	_
saying	_	PRED	_	_
things	_	_	ARG	_
like	_	_	_	_
|	|	_	_	_	_
This	_	_	_	_
time	_	_	_	_
we	_	_	ARG	_
will	_	_	_	_
be	PRED	PRED	_	_
the	_	_	_	_
first	_	_	_	_
to	_	_	_	_
loot	PRED	PRED	_	_
,	_	_	_	_
we	_	_	ARG	_
did	PRED	PRED	_	_
n't	_	_	_	_
get	PRED	PRED	_	_
anything	_	_	ARG	_
the	_	_	_	_
last	_	_	_	_
time	_	_	_	_
|	|	_	_	_	_
.	_	_	_	_
Mosques	_	_	ARG	_
are	PRED	PRED	_	_
calling	_	PRED	_	_
for	_	_	_	_
donating	_	PRED	_	_
blood	_	_	ARG	_
,	_	_	_	_
food	_	_	_	_
,	_	_	_	_
and	_	_	_	_
medicine	_	_	_	_
for	_	_	_	_
Fallujah	_	_	_	_
,	_	_	_	_
and	_	_	_	_
several	_	_	_	_
convoys	_	_	ARG	_
have	PRED	PRED	_	_
already	_	_	ARG	_
headed	PRED	PRED	_	_
out	_	_	_	_
for	_	_	_	_
Fallujah	_	_	_	_
,	_	_	_	_
most	_	_	ARG	_
of	_	_	_	_
them	_	_	_	_
