token_text	predicates	gold predicates
and	_	_
breaking	_	PRED
up	_	_
terror	_	_
cells	_	_
,	_	_
I	_	_
do	PRED	PRED
n't	_	_
find	PRED	PRED
the	_	_
news	_	_
that	_	_
the	_	_
Baathists	_	_
continue	PRED	PRED
to	_	_
penetrate	PRED	PRED
the	_	_
Iraqi	_	_
government	_	_
very	_	_
hopeful	_	_
.	_	_
It	_	_
reminds	PRED	PRED
me	_	_
too	_	_
much	_	_
of	_	_
the	_	_
ARVN	_	_
officers	_	_
who	_	_
were	PRED	PRED
secretly	_	_
working	_	PRED
for	_	_
the	_	_
other	_	_
side	_	PRED
in	_	_
Vietnam	_	_
.	_	_
Al	_	_
-	_	_
Zaman	_	_
:	_	_
Guerrillas	_	_
killed	PRED	PRED
a	_	_
member	_	_
of	_	_
the	_	_
Kurdistan	_	_
Democratic	_	_
Party	_	_
after	_	_
kidnapping	_	PRED
him	_	_
in	_	_
Mosul	_	_
.	_	_
The	_	_
police	_	_
commander	_	_
of	_	_
Ninevah	_	_
Province	_	_
announced	PRED	PRED
that	_	_
bombings	_	PRED
had	PRED	PRED
declined	PRED	PRED
80	_	_
percent	_	_
in	_	_
Mosul	_	_
,	_	_
whereas	_	_
there	_	_
had	PRED	PRED
been	PRED	PRED
a	_	_
big	_	_
jump	_	PRED
in	_	_
the	_	_
number	_	_
of	_	_
kidnappings	_	_
.	_	_
On	_	_
Wednesday	_	_
guerrillas	_	_
had	PRED	PRED
kidnapped	PRED	PRED
a	_	_
cosmetic	_	_
surgeon	_	_
and	_	_
his	_	_
wife	_	_
while	_	_
they	_	_
were	PRED	PRED
on	_	_
their	_	_
way	_	PRED
home	_	_
.	_	_
In	_	_
Suwayrah	_	_
,	_	_
Kut	_	_
Province	_	_
,	_	_
two	_	_
car	_	_
bombs	_	_
were	PRED	PRED
discovered	PRED	PRED
before	_	_
they	_	_
could	_	_
be	PRED	PRED
detonated	PRED	PRED
.	_	_
(	_	_
Kut	_	_
is	PRED	PRED
in	_	_
southeastern	_	_
Iraq	_	_
and	_	_
has	PRED	PRED
an	_	_
overwhelmingly	_	_
Shiite	_	_
population	_	PRED
,	_	_
who	_	_
are	PRED	PRED
on	_	_
the	_	_
lookout	_	_
for	_	_
Baathist	_	_
saboteurs	_	_
and	_	_
willingly	_	_
turn	PRED	PRED
them	_	_
in	_	_
.	_	_
This	_	_
willingness	_	_
is	PRED	PRED
the	_	_
main	_	_
difference	_	PRED
in	_	_
the	_	_
number	_	_
of	_	_
bombings	_	PRED
in	_	_
the	_	_
south	_	_
as	_	_
opposed	PRED	PRED
to	_	_
the	_	_
center	_	_
-	_	_
north	_	_
of	_	_
the	_	_
country	_	_
.	_	_
)	_	_
In	_	_
Baghdad	_	_
Kadhim	_	_
Talal	_	_
Husain	_	_
,	_	_
assistant	_	_
dean	_	_
at	_	_
the	_	_
School	_	_
of	_	_
Education	_	_
at	_	_
Mustansiriyah	_	_
University	_	_
,	_	_
was	PRED	PRED
assassinated	PRED	PRED
with	_	_
his	_	_
driver	_	_
in	_	_
the	_	_
Salikh	_	_
district	_	_
.	_	_
Guerrillas	_	_
killed	PRED	PRED
an	_	_
engineer	_	_
,	_	_
Asi	_	_
Ali	_	_
,	_	_
from	_	_
Tikrit	_	_
.	_	_
They	_	_
also	_	_
killed	PRED	PRED
Shaikh	_	_
Hamid	_	_
'Akkab	_	_
,	_	_
a	_	_
clan	_	_
elder	_	_
of	_	_
a	_	_
branch	_	_
of	_	_
the	_	_
Dulaim	_	_
tribe	_	_
in	_	_
Tikrit	_	_
.	_	_
His	_	_
mother	_	_
was	PRED	PRED
also	_	_
killed	PRED	PRED
in	_	_
the	_	_
attack	_	PRED
.	_	_
Two	_	_
other	_	_
Dulaim	_	_
leaders	_	_
have	PRED	PRED
been	PRED	PRED
killed	PRED	PRED
in	_	_
the	_	_
past	_	_
week	_	_
and	_	_
a	_	_
half	_	_
.	_	_
Guerrillas	_	_
near	_	_
Hawijah	_	_
launched	PRED	PRED
an	_	_
attack	_	PRED
that	_	_
left	PRED	PRED
6	_	_
dead	_	_
,	_	_
including	_	_
4	_	_
Iraqi	_	_
soldiers	_	_
.	_	_
One	_	_
of	_	_
them	_	_
was	PRED	PRED
from	_	_
the	_	_
Jubur	_	_
tribe	_	_
and	_	_
was	PRED	PRED
deputy	_	_
commander	_	_
of	_	_
the	_	_
Hawijah	_	_
garrison	_	_
.	_	_
Two	_	_
hundred	_	_
members	_	_
of	_	_
the	_	_
Batawi	_	_
clan	_	_
of	_	_
the	_	_
Dulaim	_	_
demonstrated	PRED	PRED
in	_	_
Baghdad	_	_
on	_	_
Friday	_	_
,	_	_
protesting	_	PRED
the	_	_
killing	_	PRED
of	_	_
their	_	_
clan	_	_
elder	_	_
,	_	_
Shaikh	_	_
Kadhim	_	_
Sarhid	_	_
and	_	_
4	_	_
of	_	_
his	_	_
sons	_	_
,	_	_
by	_	_
gunmen	_	_
wearing	_	PRED
Iraqi	_	_
army	_	_
uniforms	_	_
.	_	_
(	_	_
This	_	_
is	PRED	PRED
a	_	_
largely	_	_
Sunni	_	_
Arab	_	_
clan	_	_
,	_	_
and	_	_
some	_	_
Sunni	_	_
observers	_	_
have	PRED	PRED
accused	PRED	PRED
Shiite	_	_
elements	_	_
in	_	_
the	_	_
government	_	_
of	_	_
being	_	PRED
behind	_	_
the	_	_
assassination	_	PRED
;	_	_
it	_	_
is	PRED	PRED
more	_	_
likely	_	_
the	_	_
work	_	PRED
of	_	_
Sunni	_	_
Arab	_	_
guerrillas	_	_
punishing	_	PRED
the	_	_
Batawi	_	_
leaders	_	_
for	_	_
cooperating	_	PRED
with	_	_
the	_	_
Dec.	_	_
15	_	_
elections	_	PRED
.	_	_
)	_	_
Al	_	_
-	_	_
Zaman	_	_
:	_	_
The	_	_
Iraqi	_	_
High	_	_
Electoral	_	_
Commission	_	_
on	_	_
Friday	_	_
denied	PRED	PRED
a	_	_
request	_	PRED
of	_	_
the	_	_
Debaathification	_	_
Commission	_	_
to	_	_
exclude	PRED	PRED
51	_	_
individuals	_	_
from	_	_
running	_	PRED
on	_	_
party	_	_
lists	_	_
in	_	_
the	_	_
Dec.	_	_
15	_	_
elections	_	PRED
on	_	_
grounds	_	_
of	_	_
having	_	PRED
been	PRED	PRED
sufficiently	_	_
involved	_	PRED
in	_	_
Baath	_	_
activities	_	_
to	_	_
warrant	PRED	PRED
their	_	_
being	_	PRED
excluded	PRED	PRED
from	_	_
civil	_	_
office	_	_
.	_	_
The	_	_
Commission	_	_
said	PRED	PRED
it	_	_
had	PRED	PRED
no	_	_
legal	_	_
grounds	_	_
for	_	_
such	_	_
an	_	_
exclusion	_	PRED
.	_	_
This	_	_
item	_	_
is	PRED	PRED
a	_	_
small	_	_
one	_	_
and	_	_
easily	_	_
missed	PRED	PRED
.	_	_
But	_	_
in	_	_
my	_	_
view	_	PRED
it	_	_
is	PRED	PRED
highly	_	_
significant	_	PRED
.	_	_
The	_	_
Debaathification	_	_
Commission	_	_
had	PRED	PRED
been	PRED	PRED
pushed	PRED	PRED
by	_	_
Ahmad	_	_
Chalabi	_	_
and	_	_
his	_	_
Iraqi	_	_
National	_	_
Congress	_	_
very	_	_
hard	_	_
,	_	_
and	_	_
had	PRED	PRED
pushed	PRED	PRED
many	_	_
Sunni	_	_
Arabs	_	_
into	_	_
the	_	_
arms	_	_
of	_	_
the	_	_
guerrillas	_	_
.	_	_
Chalabi	_	_
has	PRED	PRED
been	PRED	PRED
increasingly	_	_
marginalized	PRED	PRED
within	_	_
Iraq	_	_
,	_	_
however	_	_
,	_	_
despite	_	_
his	_	_
ties	_	_
of	_	_
clientelage	_	_
with	_	_
Washington	_	_
and	_	_
Tehran	_	_
.	_	_
He	_	_
is	PRED	PRED
no	_	_
longer	_	_
in	_	_
the	_	_
dominant	_	_
Shiite	_	_
list	_	_
,	_	_
the	_	_
United	_	_
Iraqi	_	_
Alliance	_	_
,	_	_
and	_	_
wo	_	_
n't	_	_
have	PRED	PRED
many	_	_
seats	_	_
in	_	_
the	_	_
new	_	_
parliament	_	_
.	_	_
Some	_	_
2,000	_	_
junior	_	_
officers	_	_
of	_	_
the	_	_
old	_	_
Baath	_	_
army	_	_
have	PRED	PRED
been	PRED	PRED
recalled	PRED	PRED
to	_	_
duty	_	_
in	_	_
recent	_	_
months	_	_
,	_	_
something	_	_
Chalabi	_	_
would	_	_
have	PRED	PRED
blocked	PRED	PRED
if	_	_
he	_	_
could	_	_
have	PRED	PRED
.	_	_
Now	_	_
the	_	_
Electoral	_	_
Commission	_	_
is	PRED	PRED
refusing	_	PRED
to	_	_
punish	PRED	PRED
people	_	_
for	_	_
mere	_	_
past	_	_
Baath	_	_
Party	_	_
membership	_	_
.	_	_
The	_	_
situation	_	_
in	_	_
Iraq	_	_
is	PRED	PRED
only	_	_
going	_	PRED
to	_	_
get	PRED	PRED
better	_	PRED
this	_	_
way	_	PRED
.	_	_
If	_	_
someone	_	_
committed	PRED	PRED
a	_	_
crime	_	_
against	_	_
humanity	_	_
,	_	_
prosecute	PRED	PRED
the	_	_
person	_	_
.	_	_
If	_	_
he	_	_
or	_	_
she	_	_
did	PRED	PRED
not	_	_
,	_	_
then	_	_
they	_	_
should	_	_
have	PRED	PRED
all	_	_
the	_	_
same	_	_
rights	_	PRED
as	_	_
other	_	_
Iraqis	_	_
.	_	_
Al	_	_
-	_	_
Sharq	_	_
al	_	_
-	_	_
Awsat	_	_
reports	PRED	PRED
that	_	_
a	_	_
key	_	_
eyewitness	_	_
in	_	_
the	_	_
trial	_	PRED
of	_	_
Saddam	_	_
Hussein	_	_
for	_	_
a	_	_
1982	_	_
massacre	_	_
at	_	_
Dujail	_	_
has	PRED	PRED
died	PRED	PRED
.	_	_
A	_	_
team	_	_
from	_	_
the	_	_
court	_	_
managed	PRED	PRED
to	_	_
take	PRED	PRED
his	_	_
deposition	_	PRED
before	_	_
he	_	_
died	PRED	PRED
.	_	_
The	_	_
trial	_	PRED
begins	PRED	PRED
again	_	_
Nov.	_	_
28	_	_
.	_	_
In	_	_
Baghdad	_	_
the	_	_
fighting	_	PRED
still	_	_
continues	PRED	PRED
in	_	_
several	_	_
areas	_	_
,	_	_
mostly	_	_
in	_	_
Sadr	_	_
city	_	_
and	_	_
Adhamiya	_	_
.	_	_
Baghdadis	_	_
do	PRED	PRED
n't	_	_
venture	PRED	PRED
much	_	_
out	_	_
of	_	_
their	_	_
neighbourhoods	_	_
any	_	_
more	_	_
,	_	_
you	_	_
never	_	_
know	PRED	PRED
where	_	_
you	_	_
might	_	_
get	PRED	PRED
stuck	_	PRED
.	_	_
There	_	_
has	PRED	PRED
been	PRED	PRED
talk	_	PRED
that	_	_
the	_	_
night	_	_
curfew	_	_
might	_	_
be	PRED	PRED
implemented	PRED	PRED
again	_	_
.	_	_
My	_	_
neighbourhood	_	_
has	PRED	PRED
been	PRED	PRED
surrounded	PRED	PRED
by	_	_
American	_	_
troops	_	_
for	_	_
three	_	_
days	_	_
now	_	_
,	_	_
helicopters	_	_
have	PRED	PRED
been	PRED	PRED
circling	_	PRED
over	_	_
our	_	_
heads	_	_
non-stop	_	_
.	_	_
Fedayeen	_	_
are	PRED	PRED
now	_	_
visible	_	PRED
on	_	_
the	_	_
street	_	_
and	_	_
they	_	_
have	PRED	PRED
become	PRED	PRED
bolder	_	PRED
than	_	_
ever	_	_
.	_	_
Yesterday	_	_
there	_	_
were	PRED	PRED
tens	_	_
of	_	_
them	_	_
putting	_	PRED
road	_	_
blocks	_	PRED
on	_	_
our	_	_
street	_	_
and	_	_
setting	_	PRED
up	_	_
mortars	_	_
,	_	_
they	_	_
only	_	_
come	PRED	PRED
out	_	_
in	_	_
the	_	_
open	_	_
when	_	_
Americans	_	_
leave	PRED	PRED
the	_	_
area	_	_
,	_	_
then	_	_
they	_	_
start	PRED	PRED
firing	_	PRED
mortars	_	_
indiscriminately	_	_
and	_	_
shooting	_	PRED
their	_	_
AK	_	_
-	_	_
47's	_	_
in	_	_
the	_	_
air	_	_
.	_	_
They	_	_
are	PRED	PRED
setting	_	PRED
the	_	_
road	_	_
blocks	_	PRED
at	_	_
the	_	_
exact	_	_
same	_	_
positions	_	_
they	_	_
were	PRED	PRED
during	_	_
the	_	_
war	_	PRED
last	_	_
year	_	_
,	_	_
which	_	_
indicates	PRED	PRED
they	_	_
are	PRED	PRED
the	_	_
same	_	_
people	_	_
.	_	_
And	_	_
there	_	_
is	PRED	PRED
nothing	_	_
we	_	_
can	_	_
do	PRED	PRED
about	_	_
it	_	_
really	_	_
,	_	_
people	_	_
who	_	_
are	PRED	PRED
suggesting	_	PRED
that	_	_
we	_	_
go	PRED	PRED
out	_	_
and	_	_
fight	PRED	PRED
them	_	_
are	PRED	PRED
living	_	PRED
in	_	_
dream	_	_
land	_	_
.	_	_
Even	_	_
the	_	_
IP	_	_
and	_	_
ICDC	_	_
have	PRED	PRED
abandoned	PRED	PRED
the	_	_
neighbourhood	_	_
,	_	_
and	_	_
those	_	_
are	PRED	PRED
trained	_	_
and	_	_
armed	_	_
,	_	_
so	_	_
do	PRED	PRED
n't	_	_
expect	PRED	PRED
scared	_	_
civilians	_	_
to	_	_
do	PRED	PRED
anything	_	_
except	_	_
to	_	_
hide	PRED	PRED
inside	_	_
and	_	_
pray	PRED	PRED
a	_	_
helicopter	_	_
or	_	_
a	_	_
tank	_	_
does	PRED	PRED
n't	_	_
bomb	PRED	PRED
them	_	_
,	_	_
and	_	_
also	_	_
how	_	_
are	PRED	PRED
American	_	_
soldiers	_	_
going	_	PRED
to	_	_
distinguish	PRED	PRED
the	_	_
brave	_	_
and	_	_
valiant	_	_
civilians	_	_
from	_	_
the	_	_
Fedayeen	_	_
?	_	_
Everyone	_	_
is	PRED	PRED
apprehensive	_	_
,	_	_
there	_	_
is	PRED	PRED
some	_	_
talk	_	PRED
that	_	_
April	_	_
9th	_	_
and	_	_
10th	_	_
are	PRED	PRED
going	_	PRED
to	_	_
be	PRED	PRED
bloody	_	_
days	_	_
.	_	_
Most	_	_
people	_	_
have	PRED	PRED
n't	_	_
gone	PRED	PRED
to	_	_
work	_	PRED
the	_	_
last	_	_
few	_	_
days	_	_
,	_	_
although	_	_
it	_	_
seems	PRED	PRED
that	_	_
the	_	_
rest	_	_
of	_	_
Baghdad	_	_
is	PRED	PRED
'	_	_
normal	_	PRED
'	_	_
(	_	_
if	_	_
you	_	_
can	_	_
define	PRED	PRED
what	_	_
normal	_	_
is	PRED	PRED
)	_	_
.	_	_
There	_	_
are	PRED	PRED
rumours	_	_
about	_	_
preparations	_	PRED
by	_	_
slum	_	_
dwellers	_	_
for	_	_
another	_	_
looting	_	_
spree	_	PRED
against	_	_
banks	_	_
,	_	_
governmental	_	_
and	_	_
public	_	_
property	_	_
similar	_	_
to	_	_
the	_	_
one	_	_
that	_	_
took	PRED	PRED
place	_	_
last	_	_
April	_	_
,	_	_
and	_	_
I	_	_
have	PRED	PRED
already	_	_
overheard	PRED	PRED
youngsters	_	_
in	_	_
my	_	_
neighbourhood	_	_
joking	_	PRED
about	_	_
it	_	_
and	_	_
saying	_	PRED
things	_	_
like	_	_
|	|	_	_
This	_	_
time	_	_
we	_	_
will	_	_
be	PRED	PRED
the	_	_
first	_	_
to	_	_
loot	PRED	PRED
,	_	_
we	_	_
did	PRED	PRED
n't	_	_
get	PRED	PRED
anything	_	_
the	_	_
last	_	_
time	_	_
|	|	_	_
.	_	_
Mosques	_	_
are	PRED	PRED
calling	_	PRED
for	_	_
donating	_	PRED
blood	_	_
,	_	_
food	_	_
,	_	_
and	_	_
medicine	_	_
for	_	_
Fallujah	_	_
,	_	_
and	_	_
several	_	_
convoys	_	_
have	PRED	PRED
already	_	_
headed	PRED	PRED
out	_	_
for	_	_
Fallujah	_	_
,	_	_
most	_	_
of	_	_
them	_	_
returned	PRED	PRED
later	_	_
though	_	_
.	_	_
What	_	_
irritates	PRED	PRED
me	_	_
is	PRED	PRED
this	_	_
sudden	_	_
false	_	_
'	_	_
solidarity	_	_
'	_	_
between	_	_
Sunni	_	_
and	_	_
Shi'ite	_	_
clerics	_	_
,	_	_
we	_	_
all	_	_
know	PRED	PRED
that	_	_
they	_	_
would	_	_
be	PRED	PRED
glad	_	PRED
to	_	_
get	PRED	PRED
at	_	_
each	_	_
other	_	_
s	_	_
throats	_	_
when	_	_
they	_	_
have	PRED	PRED
the	_	_
chance	_	PRED
,	_	_
and	_	_
Shia	_	_
clerics	_	_
were	PRED	PRED
describing	_	PRED
Fallujan	_	_
insurgents	_	_
as	_	_
'	_	_
Ba'athists	_	_
'	_	_
,	_	_
'	_	_
Saddamites	_	_
'	_	_
,	_	_
'	_	_
Wahhabis	_	_
'	_	_
,	_	_
and	_	_
'	_	_
terrorists	_	_
'	_	_
just	_	_
a	_	_
few	_	_
days	_	_
ago	_	_
.	_	_
So	_	_
what	_	_
happened	PRED	PRED
?	_	_
I	_	_
guess	PRED	PRED
it	_	_
's	PRED	PRED
just	_	_
the	_	_
old	_	_
new	_	_
Arab	_	_
'	_	_
Me	_	_
against	_	_
my	_	_
brother	_	_
,	_	_
me	_	_
and	_	_
my	_	_
brother	_	_
against	_	_
my	_	_
cousin	_	_
,	_	_
me	_	_
and	_	_
my	_	_
cousin	_	_
against	_	_
my	_	_
enemy	_	_
'	_	_
,	_	_
or	_	_
'	_	_
The	_	_
enemy	_	_
of	_	_
my	_	_
enemy	_	_
is	PRED	PRED
my	_	_
friend	_	_
'	_	_
thing	_	_
going	_	PRED
on	_	_
again	_	_
.	_	_
Speaking	_	PRED
of	_	_
Fallujah	_	_
,	_	_
we	_	_
have	PRED	PRED
only	_	_
Al	_	_
-	_	_
Jazeera	_	_
to	_	_
rely	PRED	PRED
on	_	_
for	_	_
our	_	_
news	_	_
from	_	_
there	_	_
.	_	_
They	_	_
have	PRED	PRED
sent	PRED	PRED
over	_	_
their	_	_
top	_	_
reporter	_	_
Ahmed	_	_
Mansour	_	_
to	_	_
the	_	_
town	_	_
,	_	_
and	_	_
he	_	_
is	PRED	PRED
spouting	_	PRED
all	_	_
kinds	_	_
of	_	_
propaganda	_	_
hourly	_	_
reminding	_	PRED
me	_	_
of	_	_
Al	_	_
-	_	_
Sahhaf	_	_
.	_	_
|	|	_	_
They	_	_
are	PRED	PRED
targetting	_	PRED
ambulances	_	_
|	|	_	_
,	_	_
|	|	_	_
American	_	_
snipers	_	_
are	PRED	PRED
shooting	_	PRED
children	_	_
and	_	_
pregnant	_	_
women	_	_
|	|	_	_
,	_	_
and	_	_
|	|	_	_
They	_	_
are	PRED	PRED
using	_	PRED
cluster	_	_
bombs	_	_
against	_	_
civilians	_	_
|	|	_	_
is	PRED	PRED
all	_	_
you	_	_
get	PRED	PRED
to	_	_
hear	PRED	PRED
from	_	_
him	_	_
.	_	_
He	_	_
did	PRED	PRED
once	_	_
make	PRED	PRED
an	_	_
unforgivable	_	_
error	_	PRED
when	_	_
he	_	_
mentioned	PRED	PRED
that	_	_
Fallujan	_	_
militants	_	_
were	PRED	PRED
shooting	_	PRED
at	_	_
the	_	_
Marines	_	_
from	_	_
the	_	_
roofs	_	_
of	_	_
mosques	_	_
and	_	_
houses	_	_
in	_	_
Hay	_	_
Al	_	_
-	_	_
Golan	_	_
,	_	_
but	_	_
of	_	_
course	_	_
that	_	_
is	PRED	PRED
okay	_	_
for	_	_
Al	_	_
-	_	_
Jazeera	_	_
.	_	_
Someone	_	_
who	_	_
called	PRED	PRED
himself	_	_
Abu	_	_
Hafs	_	_
from	_	_
the	_	_
Ibn	_	_
Al	_	_
-	_	_
Khattab	_	_
Brigades	_	_
(	_	_
another	_	_
new	_	_
group	_	_
)	_	_
was	PRED	PRED
on	_	_
Al	_	_
-	_	_
Jazeera	_	_
describing	_	PRED
the	_	_
enormous	_	_
casualties	_	_
among	_	_
the	_	_
Marines	_	_
and	_	_
he	_	_
sweared	PRED	PRED
that	_	_
American	_	_
soldiers	_	_
were	PRED	PRED
mutilating	_	PRED
the	_	_
bodies	_	_
of	_	_
dead	_	_
insurgents	_	_
.	_	_
Over	_	_
300	_	_
Iraqis	_	_
are	PRED	PRED
reported	PRED	PRED
dead	_	_
and	_	_
500	_	_
wounded	_	_
in	_	_
Fallujah	_	_
alone	_	_
.	_	_
Al	_	_
-	_	_
Iraqiyah	_	_
tv	_	_
said	PRED	PRED
that	_	_
ICDC	_	_
were	PRED	PRED
controlling	_	PRED
Ramadi	_	_
.	_	_
Azzaman	_	_
newspaper	_	_
mentioned	PRED	PRED
an	_	_
announcement	_	PRED
signed	PRED	PRED
by	_	_
Abdul	_	_
Aziz	_	_
bin	_	_
Muqrin	_	_
,	_	_
an	_	_
Al	_	_
-	_	_
Qaeda	_	_
operative	_	_
in	_	_
Saudi	_	_
Arabia	_	_
on	_	_
an	_	_
Islamic	_	_
website	_	_
'	_	_
the	_	_
voice	_	_
of	_	_
Jihad	_	_
'	_	_
,	_	_
in	_	_
which	_	_
he	_	_
stated	PRED	PRED
that	_	_
|	|	_	_
although	_	_
mutilating	_	PRED
dead	_	_
bodies	_	_
is	PRED	PRED
not	_	_
originally	_	_
permitted	PRED	PRED
in	_	_
Islam	_	_
,	_	_
but	_	_
in	_	_
this	_	_
case	_	PRED
it	_	_
is	PRED	PRED
allowed	PRED	PRED
if	_	_
Muslims	_	_
use	PRED	PRED
it	_	_
against	_	_
infidels	_	_
to	_	_
deter	PRED	PRED
them	_	_
from	_	_
committing	_	PRED
criminal	_	_
actions	_	PRED
|	|	_	_
.	_	_
He	_	_
added	PRED	PRED
that	_	_
|	|	_	_
America	_	_
does	PRED	PRED
not	_	_
understand	PRED	PRED
anything	_	_
except	_	_
the	_	_
language	_	_
of	_	_
force	_	_
and	_	_
retaliation	_	PRED
,	_	_
they	_	_
were	PRED	PRED
kicked	PRED	PRED
out	_	_
of	_	_
Somalia	_	_
in	_	_
humiliation	_	PRED
after	_	_
that	_	_
soldier	_	_
was	PRED	PRED
dragged	PRED	PRED
in	_	_
Mogadishu	_	_
for	_	_
the	_	_
whole	_	_
world	_	_
to	_	_
see	PRED	PRED
|	|	_	_
,	_	_
and	_	_
that	_	_
|	|	_	_
the	_	_
day	_	_
will	_	_
come	PRED	PRED
when	_	_
the	_	_
dead	_	_
bodies	_	_
of	_	_
Americans	_	_
and	_	_
Jews	_	_
would	_	_
be	PRED	PRED
dragged	PRED	PRED
,	_	_
defiled	PRED	PRED
,	_	_
and	_	_
stepped	PRED	PRED
on	_	_
in	_	_
the	_	_
Arabian	_	_
peninsula	_	_
together	_	_
with	_	_
their	_	_
agents	_	_
and	_	_
supporters	_	_
|	|	_	_
.	_	_
Elena	_	_
's	_	_
motorcycle	_	_
tour	_	PRED
through	_	_
the	_	_
region	_	_
around	_	_
Chernobyl	_	_
has	PRED	PRED
revived	PRED	PRED
interest	_	PRED
in	_	_
one	_	_
of	_	_
the	_	_
most	_	_
serious	_	_
nuclear	_	_
disasters	_	_
in	_	_
history	_	_
.	_	_
We	_	_
all	_	_
know	PRED	PRED
what	_	_
happened	PRED	PRED
,	_	_
but	_	_
even	_	_
to	_	_
this	_	_
day	_	_
,	_	_
there	_	_
are	PRED	PRED
many	_	_
different	_	_
versions	_	_
and	_	_
opinions	_	_
on	_	_
how	_	_
it	_	_
happened	PRED	PRED
and	_	_
what	_	_
effect	_	PRED
Chernobyl	_	_
will	_	_
have	PRED	PRED
on	_	_
the	_	_
health	_	_
of	_	_
people	_	_
affected	PRED	PRED
by	_	_
the	_	_
fallout	_	PRED
.	_	_
UPDATE	_	PRED
:	_	_
Now	_	_
you	_	_
can	_	_
tour	PRED	PRED
Chernobyl	_	_
and	_	_
write	PRED	PRED
your	_	_
own	_	_
story	_	_
.	_	_
This	_	_
is	PRED	PRED
not	_	_
a	_	_
post	_	PRED
about	_	_
fault	_	_
-	_	_
finding	_	PRED
or	_	_
assigning	_	PRED
blame	_	PRED
.	_	_
It	_	_
is	PRED	PRED
a	_	_
time	_	_
to	_	_
learn	PRED	PRED
what	_	_
happened	PRED	PRED
and	_	_
how	_	_
it	_	_
may	_	_
affect	PRED	PRED
the	_	_
future	_	_
.	_	_
There	_	_
was	PRED	PRED
a	_	_
soothing	_	_
authoritative	_	_
UNSCEAR	_	_
(	_	_
United	_	_
Nations	_	_
Scientific	_	_
Committee	_	_
on	_	_
the	_	_
Effects	_	_
of	_	_
Atomic	_	_
Radiation	_	_
)	_	_
report	_	PRED
in	_	_
2000	_	_
on	_	_
the	_	_
health	_	_
effects	_	PRED
of	_	_
Chernobyl	_	_
confirming	_	PRED
that	_	_
there	_	_
was	PRED	PRED
no	_	_
scientific	_	_
evidence	_	_
of	_	_
any	_	_
significant	_	_
radiation	_	_
-	_	_
related	_	_
health	_	_
effects	_	PRED
to	_	_
most	_	_
people	_	_
exposed	PRED	PRED
.	_	_
This	_	_
was	PRED	PRED
heavily	_	_
promoted	PRED	PRED
by	_	_
the	_	_
Australasian	_	_
Radiation	_	_
Protection	_	_
Society	_	_
in	_	_
a	_	_
press	_	_
release	_	PRED
titled	PRED	PRED
THE	_	_
MYTHS	_	_
OF	_	_
CHERNOBYL	_	_
which	_	_
contained	PRED	PRED
the	_	_
following	_	_
:	_	_
One	_	_
of	_	_
the	_	_
most	_	_
widespread	_	_
myths	_	_
